url,url_length,has_https,has_at_symbol,num_dots,has_ip_address,has_hyphen,num_subdomains,url_shortener,has_suspicious_words,is_top_level_domain,domain_age_days,url_has_port,path_length,num_query_params,has_multiple_slashes,ends_with_file_extension,has_email_in_path,url_entropy,uses_known_brand,submission_year,label
https://passionfruit4576261.brizy.site/,39,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,4.343,0,2020,phishing
https://tb915hdh89.mfs.gg/1Yeasd3,33,1,0,2,0,0,1,0,0,0,0,0,8,0,0,0,0,4.165,0,2020,phishing
https://firebasestorage.googleapis.com/v0/b/tei-neriou-reuix-678.appspot.com/o/%40%40%40indexv-vb-veu-ry-8%25433%2569.html?alt=media&amp;token=6b0a9c43-8711-491b-9f40-50ad280ffb32#ggradnigo@prepaidlegal.com,206,1,1,6,0,0,1,1,0,0,0,0,84,2,1,1,1,5.112,1,2020,phishing
https://cusstomerservicee.blogspot.com/?m=0,43,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,4.127,0,2020,phishing
https://siporados15585.blogspot.com/,36,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,4.041,0,2020,phishing
http://www-degelyehuda-org-il.filesusr.com/html/87d61b_fe256cdcaf57de9f630e7e55861dee2f.html,92,0,0,3,0,1,1,0,0,0,0,0,50,0,0,1,0,4.779,0,2020,phishing
http://otomoto3452.com/konto.html,33,0,0,2,0,0,0,0,0,0,0,0,11,0,0,1,0,3.57,0,2020,phishing
http://otomoto-h229.net/konto.html,34,0,0,2,0,1,0,0,0,0,0,0,11,0,0,1,0,3.538,0,2020,phishing
http://wp-login.azurewebsites.net/rejestracja.html,50,0,0,3,0,1,1,0,1,0,0,0,17,0,0,1,0,4.268,0,2020,phishing
https://checumat.firebaseapp.com/,33,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3.937,0,2020,phishing
http://caracasmateriais.blogspot.com/,37,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,3.895,0,2020,phishing
https://caracasmateriais.blogspot.com/,38,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,3.883,0,2020,phishing
http://3ff7c459-86b2-4f6d-b6b0-ba6402ef6cb0.htmlcomponentservice.com/get_draft?id=3ff7c4_39f5e951394368f9e49c63fbf3166add.html,126,0,0,3,0,1,1,0,0,0,0,0,10,1,0,0,0,4.814,0,2020,phishing
https://www.formtools.com/f/info-1240,37,1,0,2,0,0,1,0,0,0,0,0,12,0,0,0,0,4.132,0,2020,phishing
https://test.webclient4.de/,27,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3.704,0,2020,phishing
https://nizotchauffage.bilty.be/clients/login,45,1,0,2,0,0,1,0,1,0,0,0,14,0,0,0,0,4.161,0,2020,phishing
https://638ca12d-ba2f-451c-8418-faf56b7de7ff.htmlcomponentservice.com/get_draft?id=638ca1_14694f4a84161543466426a12288de1a.html,127,1,0,3,0,1,1,0,0,0,0,0,10,1,0,0,0,4.778,0,2020,phishing
https://loginscreenatt.weebly.com/,34,1,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,4.124,0,2020,phishing
http://baradua.it/wp/wp-content/plugins/MADE/files/top.html,59,0,0,2,0,0,0,0,0,0,0,0,42,0,1,1,0,4.386,0,2020,phishing
https://monirshouvo.github.io/fb_responsive,43,1,0,2,0,0,1,0,0,0,0,0,14,0,0,0,0,4.08,0,2020,phishing
http://monirshouvo.github.io/fb_responsive,42,0,0,2,0,0,1,0,0,0,0,0,14,0,0,0,0,4.092,0,2020,phishing
http://monirshouvo.github.io/fb_responsive/,43,0,0,2,0,0,1,0,0,0,0,0,15,0,0,0,0,4.08,0,2020,phishing
https://monirshouvo.github.io/fb_responsive/,44,1,0,2,0,0,1,0,0,0,0,0,15,0,0,0,0,4.07,0,2020,phishing
https://drive.google.com/file/d/1robIOsANBh8Doqa7YUIeWn3Akz4094ho/edit,70,1,0,2,0,0,1,0,0,0,0,0,46,0,1,0,0,5.02,1,2020,phishing
https://drive.google.com/file/d/19zPw90jGON3J5mERXi1pauVKjDMx8NFQ/edit,70,1,0,2,0,0,1,0,0,0,0,0,46,0,1,0,0,5.218,1,2020,phishing
https://sites.google.com/view/nouveau-sms-message-vocal/accueil,63,1,0,2,0,0,1,0,0,0,0,0,39,0,0,0,0,4.095,1,2021,phishing
https://himbauane.blogspot.com/,31,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,4.042,0,2021,phishing
http://im-creator.com/free/kennymoore12/btinternet,50,0,0,1,0,1,0,0,0,0,0,0,29,0,0,0,0,3.981,0,2021,phishing
https://qhj39hfxqftr.clickfunnels.com/optin1640121734846,56,1,0,2,0,0,1,0,0,0,0,0,19,0,0,0,0,4.749,0,2021,phishing
http://ahhhh.pe.kr/zb41/data/1057168297/?email=narindra.mohan@sep.epson.com.sg,78,0,1,6,0,0,1,0,0,0,0,0,22,1,1,0,1,4.687,0,2021,phishing
https://oiazeiuiazolme.blogspot.com/?m=0,40,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,4.206,0,2021,phishing
https://reikreitel.blogspot.com/?m=0,36,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,4.163,0,2021,phishing
https://eleoelswka.blogspot.com/?m&#61;0,40,1,0,2,0,0,1,1,0,0,0,0,1,2,0,0,0,4.378,0,2021,phishing
https://demo2.cloudwp.dev/trial-f4ce1455/c.php,46,1,0,3,0,0,1,0,0,0,0,0,21,0,0,1,0,4.442,0,2021,phishing
https://orangess.contactin.bio/,31,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3.825,0,2021,phishing
https://salmanfarsi01.github.io/Facbook-Login-and-signin-clone/,63,1,0,2,0,0,1,0,1,0,0,0,32,0,0,0,0,4.426,0,2021,phishing
http://salmanfarsi01.github.io/Facbook-Login-and-signin-clone/,62,0,0,2,0,0,1,0,1,0,0,0,32,0,0,0,0,4.43,0,2021,phishing
http://sultan-raza.github.io/Netflix-Clone/,43,0,0,2,0,1,1,0,0,0,0,0,15,0,0,0,0,4.313,1,2021,phishing
http://heinthu1.github.io/,26,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3.565,0,2021,phishing
http://chiragrajoria.github.io/Netflix-clone/,45,0,0,2,0,0,1,0,0,0,0,0,15,0,0,0,0,4.233,1,2021,phishing
https://heinthu1.github.io/,27,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3.662,0,2021,phishing
https://sites.google.com/view/protonmailservice/home,52,1,0,2,0,0,1,0,0,0,0,0,28,0,0,0,0,4.02,1,2021,phishing
https://redatofadesafe.blogspot.com/?m=0,40,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,4.196,0,2021,phishing
https://sites.google.com/view/webespaceclient-ref8/accueil,58,1,0,2,0,0,1,0,0,0,0,0,34,0,0,0,0,4.216,1,2021,phishing
https://aks34.github.io/NETFLIX_CLONE,37,1,0,2,0,0,1,0,0,0,0,0,14,0,0,0,0,4.574,1,2021,phishing
http://soumya252000.github.io/Netflix,37,0,0,2,0,0,1,0,0,0,0,0,8,0,0,0,0,4.337,1,2021,phishing
http://radhikamd.github.io/netflix,34,0,0,2,0,0,1,0,0,0,0,0,8,0,0,0,0,4.161,1,2021,phishing
https://sites.google.com/view/awspage,37,1,0,2,0,0,1,0,0,0,0,0,13,0,0,0,0,3.905,1,2021,phishing
https://priyankasandokar1606.github.io/,39,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,4.253,0,2021,phishing
https://sites.google.com/view/comfimobiekdofl/accueil,53,1,0,2,0,0,1,0,0,0,0,0,29,0,0,0,0,4.155,1,2021,phishing
https://betg366.start.page/,27,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3.63,0,2022,phishing
https://dpomstlms.web.app/,26,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3.69,0,2022,phishing
https://dpomstlms.firebaseapp.com/,34,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3.962,0,2022,phishing
https://polygon-apes-minting.netlify.app,40,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,4.013,0,2022,phishing
https://carlomcer.web.app/,26,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3.873,0,2022,phishing
https://carlomcer.firebaseapp.com/,34,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3.954,0,2022,phishing
https://carlomcur.web.app/,26,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3.95,0,2022,phishing
https://carlomcur.firebaseapp.com/,34,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,4.035,0,2022,phishing
https://sumpogaes.web.app/,26,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3.719,0,2022,phishing
https://sumpogaes.firebaseapp.com/,34,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3.962,0,2022,phishing
https://metasupport1020340234023432.web.app/,44,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,4.07,0,2022,phishing
